Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
Promenade des Cervidés,250000,Morin-Heights,Laurentides,,,,,,89253.0,110700.0,,,
"284, rue Saint-Jacques",639900,Napierville,Montérégie (Rive-Sud Montréal),6.0,2.0,,2.0,,,235289.0,23716.0,352500.0,
"244, RUE NOTRE-DAME",165000,Val-des-Sources,Estrie,4.0,1.0,1.0,2.0,,,149001.0,5076.0,,
rue Ganivet,269900,Rigaud,Montérégie Ouest,,,,,,319129.0,,,,
"5511, rue Taillon",525000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3.0,1.0,1.0,3.0,,,297676.0,34478.0,130045.0,111500.0
"600, montée de Wakeham",447000,Gaspé,Gaspésie-Îles-de-la-Madeleine,4.0,2.0,,2.0,2400.0,,240000.0,33500.0,270000.0,150000.0
"597, rue Principale",132300,ND-De-Montauban,Mauricie,3.0,1.0,,2.0,,,112605.0,1945.0,,
"240, place Valois",625000,Roxton Falls,Montérégie (Rive-Sud Montréal),3.0,2.0,,1.0,1680.0,44000.0,300000.0,70000.0,120000.0,150000.0
"67, rue du Parc",479000,St-Lucien,Centre-du-Québec,5.0,3.0,1.0,2.0,1500.0,44000.0,277000.0,29400.0,230000.0,
chemin de la Chapelle,154000,St-Adolphe-D'Howard,Laurentides,,,,,,,74544.0,6047.0,,
"127, rue de l'Anse",205000,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,40170.0,98222.0,2438.0,,
"825, rue Saint-Pierre",639900,St-Roch-De-Richelieu,Montérégie (Rive-Sud Montréal),4.0,2.0,,1.0,1230.0,20843.0,301000.0,31000.0,120000.0,88600.0
"1156, rue Louis-Armand-Desjardins",359000,Cap-Rouge,Québec Rive-Nord,4.0,2.0,,2.0,,,296300.0,23200.0,,
promenade des Cervidés,275000,Morin-Heights,Laurentides,,,,,,91028.0,111245.0,5765.0,,
"1793-1795, rue Saint-Martin",265000,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,6.0,2.0,,,,5250.0,250000.0,11740.0,,
"5910, rue de la Rivière",525000,Val-Morin,Laurentides,3.0,2.0,,1.0,,,313404.0,2208.0,,
"94-96, avenue Saint-Georges",280000,Roberval,Saguenay-Lac-Saint-Jean,5.0,2.0,,,,,,,260000.0,192772.0
"70, chemin de la Marguerite",600000,St-Donat,Lanaudière,3.0,2.0,,2.0,,,239881.0,16137.0,240000.0,117084.0
"118, rue Mount",390000,Sherbrooke (Lennoxville),Estrie,4.0,2.0,1.0,2.0,1364.0,4463.0,262900.0,20400.0,230000.0,
"32, Route 132",549000,Cascapedia-St-Jules,Gaspésie-Îles-de-la-Madeleine,,,,,,439000.0,,,,
"1190, boulevard Laflèche",395000,Baie-Comeau,Côte-Nord,,,,,,,2100000.0,,11000.0,
"853, route Begin",225000,St-Anselme,Chaudière-Appalaches,5.0,2.0,2.0,2.0,2464.0,,210408.0,,200000.0,
"1941, chemin du Fleuve",985000,Les Cèdres,Montérégie Ouest,2.0,2.0,,2.0,1800.0,,217801.0,29307.0,,
"328-4957, rue Lionel-Groulx",325000,St-Augustin-De-Desmaures,Québec Rive-Nord,1.0,1.0,,1.0,,,260000.0,,,
"21, rue de l'Abbé-Ginguet",419000,Gatineau (Gatineau),Outaouais,3.0,2.0,,1.0,,5999.0,,,,
"198, chemin du Muguet",150500,Ile d'Orléans (St-Jean),Québec Rive-Nord,,,,,,,40800.0,7400.0,,
"40, rue Principale",250000,Lac-Des-Aigles,Bas-Saint-Laurent,9.0,1.0,1.0,2.0,,23546.0,108055.0,3769.0,,259536.0
"1070, rue des Iles-du-Vent",1500000,St-Nicolas,Québec Rive-Sud (Lévis),5.0,3.0,1.0,2.0,,,640500.0,71900.0,,116200.0
"2762, chemin Bois-Clair",2945000,St-Antoine-De-Tilly,Chaudière-Appalaches,6.0,3.0,1.0,2.0,,,,,,
"4157, chemin Plaisance",395000,Ste-Julienne,Lanaudière,3.0,2.0,,2.0,1800.0,22700.0,215600.0,15600.0,290000.0,138000.0
"1, chemin de la Base",135000,St-Roch-De-Mekinac,Mauricie,,,,,,94176.0,,,,
"1870, rue Jérôme-Hamel",329000,Trois-Rivières (Trois-Rivières),Mauricie,4.0,2.0,,1.0,,,254900.0,15900.0,80000.0,120000.0
"Lot 42, rue des Faux-Trembles",239900,Eastman,Estrie,,,,,,95305.0,,,,
"603, rang Saint-Antoine",269000,Ste-Sophie-De-Levrard,Centre-du-Québec,3.0,2.0,,2.0,,,217000.0,12189.0,72300.0,130500.0
montée de la Source,79500,Ste-Agathe-Des-Monts,Laurentides,,,,,,,10345.0,,,
"105-14474, rue Bernard-Geoffrion",269000,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,1.0,1.0,,1.0,,,203100.0,13597.0,30000.0,
"173, avenue de la Rivière",598000,Fossambault-Sur-Le-Lac,Québec Rive-Nord,3.0,2.0,,2.0,1455.0,4745.0,,,,
"16785, rue de Menneville",799000,Mirabel (Domaine-Vert Nord),Laurentides,4.0,2.0,1.0,2.0,,6000.0,,,,
"5774-5782, boulevard Saint-Michel",2100000,Rosemont / La Petite Patrie,Montréal / l'Île,2.0,1.0,1.0,,,2479.0,513372.0,63393.0,,310224.0
"1555, rue Paris",549000,Drummondville (Drummondville),Centre-du-Québec,6.0,2.0,,1.0,1584.0,9678.0,464100.0,40800.0,230000.0,
"363, rue du Rossignol",429900,Ste-Sophie,Laurentides,3.0,1.0,1.0,1.0,1073.0,26914.0,199310.0,19236.0,,
"1780, rue du Fief - Par Proulx Immobilier",420999,Trois-Rivières (Trois-Rivières),Mauricie,3.0,1.0,1.0,2.0,1400.0,5030.0,,,,
"28, 35e Avenue",699900,Bois-Des-Filion,Laurentides,4.0,2.0,,1.0,1400.0,4500.0,,,,
"2614-2620, 1re Avenue",950000,Limoilou,Québec Rive-Nord,4.0,6.0,,,,,913900.0,45000.0,230000.0,345000.0
"1537, route 148",847985,Luskville,Outaouais,3.0,2.0,1.0,2.0,3500.0,,,,,
"4342, chemin Royal",799000,Ile d'Orléans (St-Jean),Québec Rive-Nord,3.0,1.0,1.0,2.0,2592.0,50000.0,250000.0,50000.0,290000.0,160000.0
rue des Géraniums,"8,75",Bécancour (Ste-Angèle),Centre-du-Québec,,,,,,10000.0,,,,
"987, rue Bel-Air",499999,Gatineau (Gatineau),Outaouais,3.0,2.0,,1.0,,54100.0,,,,
"15, chemin Gibson",99900,Alleyn-Et-Cawood,Outaouais,,,,,,,,,,
"745, rue Eymard",980000,Saint-Sacrement,Québec Rive-Nord,4.0,1.0,1.0,2.0,2170.0,,511776.0,50908.0,200000.0,170000.0
"477-2323, rue le Caron",345000,Le Sud-Ouest,Montréal / l'Île,1.0,1.0,1.0,4.0,522.0,,,,72000.0,
Chemin George-Bonnalie,164900,Eastman,Estrie,,,,,,,,,,
"110B-1400, rue Ottawa",399000,Griffintown,Montréal / l'Île,1.0,1.0,,1.0,557.0,,,,,
"8344, Place de Chanceaux",840000,Anjou,Montréal / l'Île,4.0,2.0,,2.0,,4941.0,431500.0,41500.0,120000.0,
"384, route 132",460000,Port-Daniel,Gaspésie-Îles-de-la-Madeleine,3.0,1.0,1.0,2.0,,,126700.0,16400.0,294000.0,103800.0
"134, rue Jérémie-Beaulieu",250000,Ste-Francoise,Bas-Saint-Laurent,2.0,,,,,53411.0,219700.0,,,450000.0
Projet Les Boisés des Pins - Par Habitations Clermont,372600,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),2.0,1.0,1.0,2.0,1188.0,2647.0,,,,
"95, route 138",100000,Baie-Trinite,Côte-Nord,,,,,,96000.0,6500.0,5000.0,,
Allée du Soleil,99990,Drummondville (St-Nicéphore),Centre-du-Québec,,,,,,6780.0,,,,
"716-445, avenue Viger Ouest",419000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,1.0,1.0,,1.0,619.0,619.0,210365.0,25201.0,74000.0,64800.0
"4832, rue Philippe Parizeau",699900,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),5.0,2.0,1.0,2.0,1440.0,5280.0,354700.0,37200.0,294000.0,120000.0
rue de la Rivière,90000,St-Alphonse-Rodriguez,Lanaudière,,,,,,43968.0,,,,
"38, Square Sir-Georges-Étienne-Cartier #111 - Unité D519",695716,Le Sud-Ouest,Montréal / l'Île,2.0,2.0,,1.0,853.0,,,,,
"348, chemin du Lac-Goth",479000,St-Félix-D'Otis,Saguenay-Lac-Saint-Jean,2.0,1.0,1.0,2.0,1638.0,43057.0,314200.0,29000.0,238500.0,
"337, boulevard Yvon-L'Heureux Sud",340000,McMasterville,Montérégie (Rive-Sud Montréal),2.0,1.0,1.0,2.0,916.0,2300.0,176314.0,15947.0,,
"16, rue Mégane",549000,St-Hippolyte,Laurentides,5.0,2.0,1.0,1.0,1100.0,,185000.0,24900.0,,
"890, avenue Tanguay",1250000,Alma,Saguenay-Lac-Saint-Jean,,,,,,54000.0,1717000.0,178500.0,,
"1430, avenue de la Grande-Anse",550000,La Pocatiere,Bas-Saint-Laurent,6.0,1.0,,2.0,,70000.0,159078.0,,,
rue Delisle,70000,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,,,,,,9000.0,,,,
"254, rue Philippe-Grenier - Par Construction CRD",474900,Beauport,Québec Rive-Nord,1.0,1.0,,2.0,,,,,,
"524, rue Denise-Collette",711000,Ste-Julie,Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,1896.0,,,,,
"645, rue Adèle-Berthelot - Le Madrid - Par Habitation Cousineau",919685,St-Colomban,Laurentides,3.0,2.0,1.0,2.0,2297.0,24400.0,,,,
rue des Tilleuls - Le Châtel - Par Construction CRD,572500,Boischatel,Québec Rive-Nord,3.0,1.0,1.0,2.0,,,,,,
"409, rue Geoffrion - Projet BéaCité",721809,Ste-Julie,Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,2018.0,,,,,
rue des Élans - Le Cabernet - Par Construction C.R.D,320500,Val-Bélair,Québec Rive-Nord,3.0,1.0,1.0,2.0,,1.0,,,,
rue Kildare - Le Cabernet - Par Construction C.R.D,286800,Ste-Brigitte-De-Laval,Québec Rive-Nord,3.0,1.0,1.0,2.0,,1.0,,,,
rue Jennings - L'Innovateur - Par Construction C.R.D,248900,Ste-Brigitte-De-Laval,Québec Rive-Nord,1.0,1.0,,1.0,,1.0,,,,
rue Claude-Bouchard - Le Chainon - Par Construction CRD,298700,Ste-Anne-de-Beaupré,Québec Rive-Nord,2.0,1.0,1.0,1.0,,1.0,,,,
"5, 3ième rue Ouest - Par Lauréat Construction",295000,St-François-De-La-Rivière-Du-Sud,Chaudière-Appalaches,3.0,1.0,1.0,1.0,,8000.0,,,,
"1096, rue Yolande-Chartrand - Par les Habitations Raymond Guay et associés",990650,Beloeil,Montérégie (Rive-Sud Montréal),3.0,3.0,1.0,2.0,1870.0,5832.0,,,,
"355, rue de l'Aligoté - Par Construction Serge Brouillette",339900,Drummondville (Drummondville),Centre-du-Québec,2.0,1.0,1.0,1.0,1088.0,5400.0,,,,
route 155,32000,Grandes-Piles,Mauricie,,,,,,,,,,
"533, rue Adèle-Berthelot - Modèle Vegas - Par Habitation Cousineau",899900,St-Colomban,Laurentides,3.0,2.0,1.0,2.0,2011.0,38360.0,,,,
Quartier des Pionniers - Par SMB Dallaire,600597,Charny,Québec Rive-Sud (Lévis),3.0,1.0,1.0,2.0,,,,,,
rang Saint-Régis Sud,529900,St-Constant,Montérégie (Rive-Sud Montréal),3.0,1.0,1.0,2.0,2130.0,,,,,
rue Philomène-Joubier - Les Jumelés de la Chaudière - Par SMB Dallaire,"323700,22",Charny,Québec Rive-Sud (Lévis),3.0,1.0,1.0,1.0,,,,,,
Quartier des Pionniers - Par SMB Dallaire,"343938,83",Charny,Québec Rive-Sud (Lévis),3.0,1.0,1.0,1.0,,,,,,
Le Market - unité 1005,397650,Chomedey,Laval,1.0,1.0,,1.0,718.0,,,,,
Modèle Liberty - À construire - Par Terrain Dev Immobilier inc.,344500,St-Émile,Québec Rive-Nord,3.0,1.0,1.0,2.0,,,,,,
avenue McNaughton - Par Habitations Clermont Inc.,389600,Hemmingford,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,1102.0,,,,,
"9201, rue Notre-Dame Est - Unité #311 - Les Cours Bellerive Phase 2",292000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,1.0,1.0,,1.0,593.0,,,,,
"9201, rue Notre-Dame Est - Unité #206 - Les Cours Bellerive Phase 3",426000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,3.0,1.0,,1.0,935.0,,,,,
"9201, rue Notre-Dame Est - Unité #204- Les Cours Bellerive Phase 3",376000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,2.0,1.0,,1.0,798.0,,,,,
8893 boulevard St-Canut - Par Groupe 4M Inc.,404900,Mirabel (St-Canut),Laurentides,3.0,1.0,1.0,2.0,2280.0,,,,,
"395, rue de l'Aligoté - Par Construction Serge Brouillette",337900,Drummondville (Drummondville),Centre-du-Québec,2.0,1.0,,1.0,1088.0,5403.0,,,,
"5667, avenue de l'Esplanade",779000,Le Plateau-Mont-Royal,Montréal / l'Île,2.0,1.0,,3.0,942.0,,373732.0,47430.0,95000.0,103489.0
"528, chemin Vanier",5199900,Gatineau (Aylmer),Outaouais,,,,,,,392130.0,,,
"2970, rue Lareau",319000,Carignan,Montérégie (Rive-Sud Montréal),,,,,,5000.0,,,,
"145, rue des Grèbes - Par Construction HLI",385500,Drummondville (St-Nicéphore),Centre-du-Québec,2.0,1.0,,1.0,,,,,,
"1744, chemin de Château-Bigot",399900,Charlesbourg,Québec Rive-Nord,3.0,1.0,,1.0,1168.0,,261959.0,21291.0,,
"38, Square Sir-Georges-Étienne-Cartier #111 - Unité E108",443826,Le Sud-Ouest,Montréal / l'Île,1.0,1.0,,1.0,666.0,,,,,
"38, Square Sir-Georges-Étienne-Cartier #111 - Unité D115",756600,Le Sud-Ouest,Montréal / l'Île,2.0,2.0,,2.0,1082.0,,,,,
Boisé Natura Phase 2 - Par Construction CRD,259900,Ste-Catherine-de-la-JC,Québec Rive-Nord,2.0,1.0,1.0,2.0,1120.0,3500.0,,,,
Boisé Natura Phase 2 - Par Construction CRD,364600,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,3.0,2.0,2.0,,9500.0,,,,
rue des Sables - Par Construction CRD,307900,Ste-Catherine-de-la-JC,Québec Rive-Nord,3.0,1.0,,1.0,,7000.0,,,,
rue des Sables - Par Construction CRD,337800,Ste-Catherine-de-la-JC,Québec Rive-Nord,2.0,1.0,,1.0,952.0,,,,,
rue des Sables - Par Construction CRD,409000,Ste-Catherine-de-la-JC,Québec Rive-Nord,3.0,1.0,1.0,2.0,1248.0,8050.0,,,,
Boisé Natura Phase 2 - Par Construction CRD,463700,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,2.0,,2.0,896.0,6500.0,,,,
Boisé Natura Phase 2 - Par Construction CRD,299900,Ste-Catherine-de-la-JC,Québec Rive-Nord,3.0,1.0,1.0,2.0,,,,,,
Boisé Natura Phase 2 - Par Construction CRD,538700,Ste-Catherine-de-la-JC,Québec Rive-Nord,3.0,1.0,1.0,2.0,1856.0,6975.0,,,,
Boisé Natura Phase 2 - Par Construction CRD,329900,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,1.0,1.0,1.0,900.0,40000.0,,,,
"302-2410, rue Sainte-Catherine Est",789000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,3.0,2.0,,2.0,1400.0,,363969.0,47227.0,101140.0,45180.0
"56, chemin de la Tournée",599500,Lac-Beauport,Québec Rive-Nord,2.0,2.0,,1.0,907.0,14354.0,301191.0,32500.0,302500.0,
"2572, chemin Pié",995000,St-Michel,Montérégie (Rive-Sud Montréal),3.0,1.0,3.0,1.0,2105.0,703368.0,293500.0,48500.0,240000.0,221300.0
4 ½ - Melius 1 - Faubourg Cousineau - Par Habitation Lussier,316485,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,950.0,,,,,
"2-5335, avenue du Parc",429000,Le Plateau-Mont-Royal,Montréal / l'Île,2.0,1.0,,1.0,672.0,,156400.0,17817.0,72000.0,
"170-172, 14e Avenue",279000,Drummondville (Drummondville),Centre-du-Québec,2.0,1.0,,,,,,,,
"2227, rue La Capellière",465000,Beauport,Québec Rive-Nord,4.0,2.0,,2.0,812.0,5442.0,320000.0,29900.0,,
chemin de la Zec Martin-Valin,200000,St-Fulgence,Saguenay-Lac-Saint-Jean,2.0,1.0,1.0,2.0,640.0,,33121.0,17500.0,,95000.0
"3761, rue Saint-Hubert",529000,Le Plateau-Mont-Royal,Montréal / l'Île,3.0,1.0,,1.0,,,379237.0,46797.0,192000.0,191404.0
"1755-1757, rue Pierre-Arthur",344500,St-Romuald,Québec Rive-Sud (Lévis),5.0,3.0,,1.0,,,338834.0,27400.0,228000.0,
"30, rue Richard - À CONSTRUIRE - Par Construction Marival",574900,Repentigny (Repentigny),Lanaudière,2.0,1.0,,2.0,1200.0,,,,,
"95, chemin Dusseault",239000,La Minerve,Laurentides,,,,,,110000.0,43700.0,,,
"110, rue des Fous-De-Bassan",399999,Drummondville (St-Nicéphore),Centre-du-Québec,4.0,1.0,,1.0,1192.0,,,,,
"151, rue des Tuileries",279000,Ste-Foy,Québec Rive-Nord,3.0,2.0,,1.0,1000.0,,272700.0,23600.0,31400.0,
Au Pied du Mont-Ham,39000,St-Joseph-De-Ham-Sud,Estrie,,,,,,,,,,
"4962, rue du Genévrier",649000,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),2.0,1.0,1.0,2.0,1300.0,3725.0,296100.0,27500.0,180000.0,70000.0
"18, rue de la Fauvette",540000,Magog,Estrie,3.0,1.0,1.0,1.0,1242.0,15000.0,,,,
"104-75, avenue Brown",299000,Vaudreuil-Dorion,Montérégie Ouest,2.0,1.0,,1.0,925.0,,115899.0,16051.0,70000.0,30800.0
rue Lamarche - Carré Belvédère - Par Condos Gesteco,229900,Sherbrooke (Mont-Bellevue),Estrie,2.0,1.0,,1.0,1088.0,,,,,
Le Market - Unité 1107,486106,Chomedey,Laval,2.0,1.0,,1.0,1017.0,,,,,
"14-8565, Place du Charpentier",259000,Mirabel (St-Canut),Laurentides,2.0,1.0,,1.0,,,87969.0,11204.0,86500.0,
17e Avenue,65000,St-Prosper-De-Dorchester,Chaudière-Appalaches,,,,,,,,,,
"4, rue Bellevue",365000,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,3.0,1.0,1.0,2.0,1309.0,98200.0,302218.0,24497.0,285031.0,
"221, chemin de Lac-Sainte-Marie",869000,Lac-Ste-Marie,Outaouais,2.0,2.0,,2.0,1600.0,,,,,
"105, chemin du Boisé - Par Terrain Dev Immobilier inc.",249900,Lac-Beauport,Québec Rive-Nord,,,,,,,,,,
"4653, rue Charles",354900,St-Anicet,Montérégie (Rive-Sud Montréal),4.0,1.0,,1.0,1290.0,,,,,
"704-4901, rue Lionel-Groulx",765000,St-Augustin-De-Desmaures,Québec Rive-Nord,2.0,2.0,,1.0,1722.0,,584000.0,55000.0,134400.0,40800.0
"103-10100, rue de L'épervier",314000,Mirabel (St-Canut),Laurentides,2.0,1.0,,1.0,1014.0,,92837.0,11914.0,45609.0,
"1312, route 309 Sud",429900,ND-Du-Laus,Laurentides,2.0,1.0,,1.0,1300.0,8000.0,,,,
"80, 19e Avenue Nord",450000,St-Ambroise-De-Kildare,Lanaudière,3.0,1.0,1.0,2.0,1536.0,,244614.0,22672.0,,
"607, rue Marmier",255000,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),1.0,1.0,,1.0,613.0,,168629.0,15294.0,59925.0,215000.0
Modèle à construire - Boisé Natura - Par Construction CRD,267900,Ste-Catherine-de-la-JC,Québec Rive-Nord,3.0,1.0,1.0,2.0,1200.0,,,,,
Modèle à construire - Boisé Natura - Par Construction CRD,358888,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,1.0,1.0,1.0,,10000.0,,,,
Modèle à construire - Boisé Natura - Par Construction CRD,364900,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,1.0,1.0,2.0,1152.0,6600.0,,,,
Modèle à construire - Boisé Natura - Par Construction CRD,299900,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,2.0,1.0,2.0,,7000.0,,,,
Modèle à construire - Boisé Natura - Par Construction CRD,359300,Ste-Catherine-de-la-JC,Québec Rive-Nord,5.0,1.0,1.0,1.0,816.0,6000.0,,,,
"21, côte du Moulin",135000,Port-Cartier,Côte-Nord,2.0,1.0,,2.0,,,149241.0,,245141.0,
"102-1090, rue Rodrigue",350000,Terrebonne (La Plaine),Lanaudière,2.0,1.0,,1.0,1066.0,,247283.0,18323.0,100000.0,
"200-140, rue de Toulon",339000,Terrebonne (Terrebonne),Lanaudière,2.0,1.0,,1.0,,,289600.0,19100.0,74400.0,34200.0
"406-201, chemin du Club Marin",627000,L'Ile Des Soeurs,Montréal / l'Île,2.0,2.0,,1.0,1115.0,,258500.0,31300.0,75000.0,55000.0
"125, Route 204",160000,Ste-Justine,Chaudière-Appalaches,4.0,1.0,,2.0,1476.0,,101000.0,5780.0,,60000.0
"2325, rue Ovila-Légaré",374900,Drummondville (Drummondville),Centre-du-Québec,4.0,1.0,,1.0,976.0,5490.0,230000.0,,164000.0,
"132, rue du Plateau",162000,Dolbeau-Mistassini,Saguenay-Lac-Saint-Jean,3.0,1.0,1.0,2.0,1176.0,7000.0,136100.0,6700.0,180000.0,200000.0
"3319-258, chemin du Lac-Millette",590000,St-Sauveur,Laurentides,2.0,2.0,,1.0,1253.0,,,,,
"103-3610, rue Roland-Marquette",349000,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),1.0,1.0,1.0,1.0,728.0,,173925.0,14387.0,50000.0,40000.0
"91, chemin du Vol-à-Voile",739000,L'Ange-Gardien-Outaouais,Outaouais,4.0,2.0,,1.0,1380.0,,,,,
"289, rue Miljours",545000,Val-d'Or,Abitibi-Témiscamingue,4.0,2.0,1.0,2.0,1014.0,,420800.0,28100.0,300000.0,140000.0
"31, boulevard René Lévesque est",609000,St-Jean-Baptiste,Québec Rive-Nord,3.0,2.0,,1.0,1800.0,,426600.0,40000.0,180000.0,50000.0
"1248, Route 337",389900,Ste-Julienne,Lanaudière,3.0,1.0,1.0,1.0,1048.0,22698.0,,,,
"1264, 15e Avenue",565000,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3.0,2.0,,2.0,1130.0,5960.0,225500.0,24500.0,,
"485, Route 132 Est",160000,Nouvelle,Gaspésie-Îles-de-la-Madeleine,4.0,1.0,,2.0,1344.0,249490.0,170889.0,15000.0,120000.0,104400.0
"98, chemin des Cèdres",288000,Rigaud,Montérégie Ouest,,,,,,47145.0,,,,
"732, rue de la Rivière",349000,Cowansville,Estrie,2.0,1.0,1.0,2.0,,,185400.0,19000.0,130000.0,
"304-2750, place Charlemagne",384900,Vaudreuil-Dorion,Montérégie Ouest,2.0,1.0,,1.0,900.0,,137175.0,16685.0,96000.0,
"42, rue de l'Envol",305000,Ste-Anne-Des-Plaines,Laurentides,2.0,1.0,,2.0,950.0,,199500.0,13000.0,58000.0,
Domaine Saint-Gabriel Ouest - Par Invesco Habitation,Prixsurdemande,St-Sauveur,Laurentides,,,,,,,,,,
chemin Kicking Horse - Par Invesco Habitation,Prixsurdemande,Morin-Heights,Laurentides,,,,,,33000.0,,,,
Terrain 34 - Par Invesco Habitation,Prixsurdemande,Morin-Heights,Laurentides,,,,,,,,,,
"303-1633, rue Wellington",795000,Le Sud-Ouest,Montréal / l'Île,1.0,1.0,1.0,2.0,1125.0,,313500.0,37700.0,88000.0,49000.0
"40-730, chemin de Gaspé",398000,Bromont,Estrie,,,,,,46801.0,,,,
Allée du Soleil,389000,Drummondville (St-Nicéphore),Centre-du-Québec,2.0,1.0,,1.0,1020.0,6780.0,,,,
"671, 3e Avenue",365000,Barraute,Abitibi-Témiscamingue,2.0,2.0,,1.0,1050.0,11840.0,288221.0,18529.0,,
"106-3475, rue Vautelet",219900,Ste-Foy,Québec Rive-Nord,2.0,1.0,,1.0,832.0,,169623.0,13913.0,,
Esplanade Cartier - Phase 3 - Unité 716 - par Prével,446000,Ville-Marie (Centre-Ville et Vieux Mtl),Montréal / l'Île,2.0,1.0,,1.0,615.0,,,,,
"2240, rue du Ponceau",499000,Pintendre,Québec Rive-Sud (Lévis),5.0,2.0,,1.0,1564.0,,231631.0,25026.0,316332.0,163150.0
"7, rue du Lac DuChamps",70000,La Tuque (Clova),Mauricie,,,,,,,11200.0,,,
"293, boulevard Renard Est",310000,Gaspé,Gaspésie-Îles-de-la-Madeleine,5.0,2.0,2.0,2.0,896.0,8160.0,249073.0,40000.0,60000.0,110000.0
"1110, rue Louis Armand Desjardins",399500,Cap-Rouge,Québec Rive-Nord,3.0,2.0,,1.0,956.0,8579.0,298721.0,22872.0,204000.0,
"721, rue Goupil",269000,Sherbrooke (Fleurimont),Estrie,3.0,2.0,,1.0,765.0,5985.0,,,,
"760, rue Savard",395000,Donnacona,Portneuf,3.0,1.0,1.0,2.0,1390.0,,299400.0,68200.0,180000.0,
Modèle Liberty - Phase 5 - Boisé Falardeau - Par Terrain Dev Immobilier inc.,399900,St-Émile,Québec Rive-Nord,3.0,2.0,1.0,2.0,,,,,,
"1426, rue Dumas",239999,St-Félicien,Saguenay-Lac-Saint-Jean,4.0,3.0,,2.0,1624.0,10514.0,249100.0,12445.0,385000.0,
"38, chemin du Panorama",124900,Val-Des-Monts,Outaouais,,,,,,48114.0,,,,
"146, rue Harold",249000,Gatineau (Gatineau),Outaouais,2.0,1.0,,1.0,948.0,4048.0,200500.0,,,
"1057, rue des Champs",272000,St-Jean-Chrysostome,Québec Rive-Sud (Lévis),3.0,1.0,1.0,3.0,2507.0,3525.0,232900.0,20400.0,25000.0,12000.0
"201-548, rue Nicolet",449000,Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,2.0,1.0,1.0,1.0,721.0,,210800.0,23900.0,60000.0,36000.0
"379, rue Saint-Jean-Baptiste Est",374000,Rimouski (Rimouski),Bas-Saint-Laurent,4.0,3.0,,1.0,,,,,,
"307-6980, chemin de la Côte-Saint-Luc",578000,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,2.0,2.0,,1.0,1182.0,,262353.0,32266.0,120000.0,
"27, rang Saint-André",590000,St-Philippe,Montérégie (Rive-Sud Montréal),2.0,1.0,1.0,2.0,1610.0,,,,,
"1084-5, chemin du Tour du Lac",199000,Lac-Simon,Outaouais,,,,,,3662.0,52900.0,5600.0,,
"3280, avenue des Églises",225000,Charny,Québec Rive-Sud (Lévis),3.0,2.0,,2.0,,,219400.0,19500.0,300000.0,
"1-300, avenue Lansdowne",350000,Westmount,Montréal / l'Île,1.0,1.0,,1.0,770.0,,,,,
"1180, rue Croteau",510000,St-Agapit,Chaudière-Appalaches,2.0,1.0,,,,9810.0,574700.0,39873.0,,
"426X, rue du Bonheur",95000,Ste-Julienne,Lanaudière,,,,,,42185.0,82725.0,,,
"46, rang St-Anselme",75000,St-Magloire-De-Bellechasse,Chaudière-Appalaches,,,,,,93000.0,,,,
rue des Liserons,269000,Austin,Estrie,,,,,,,20170.0,2384.0,,
"1792, rue des Tulipes",1150000,Carignan,Montérégie (Rive-Sud Montréal),5.0,2.0,1.0,2.0,3176.0,,450000.0,79648.0,323720.0,143800.0
