Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"434, rue Sigmund-Freud",549000,Vimont,Laval,2.0,1.0,1.0,1.0,938.0,5800.0,285000.0,32000.0,210000.0,
"3461, avenue Yves-Thériault",574900,Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,3.0,1.0,1.0,2.0,1600.0,312886.0,242800.0,27000.0,200000.0,80000.0
"48, chemin du Mont-Columbia - Par Solico Construction",847900,Chelsea,Outaouais,2.0,1.0,1.0,1.0,1334.0,,,,,
"44, chemin du Mont-Columbia - Par Solico Construction",974900,Chelsea,Outaouais,3.0,2.0,1.0,2.0,1947.0,,,,,
"23, rue Victor - Modèle Le Chadwick - Par Construction Cousineau",581900,St-Hippolyte,Laurentides,3.0,1.0,1.0,2.0,2054.0,37000.0,,,,
"52, rue Victor - L'Alzari - Par construction Cousineau",699000,St-Hippolyte,Laurentides,3.0,1.0,1.0,2.0,1767.0,33000.0,,,,
rue Joseph-Lambert - Par Construction Réjean Morin,345000,Pintendre,Québec Rive-Sud (Lévis),2.0,1.0,,1.0,1064.0,4529.0,,,,
Modèle à construire - Par Les Constructions André-Jacques inc.,Prixsurdemande,St-Albert,Centre-du-Québec,2.0,1.0,,1.0,1325.0,16000.0,,,,
"8465, place de la Gouvernante",575000,Charlesbourg,Québec Rive-Nord,5.0,2.0,1.0,2.0,1950.0,12680.0,385264.0,37240.0,206490.0,
"304-1625, avenue Victoria",375000,St-Lambert,Montérégie (Rive-Sud Montréal),2.0,1.0,,1.0,1124.0,,231700.0,24661.0,200000.0,
"7930, rue du Moulin des Jésuites",355000,Charlesbourg,Québec Rive-Nord,3.0,2.0,,1.0,1125.0,7280.0,285585.0,24815.0,291225.0,107100.0
"5-381, rue Lulli",379000,Laval-des-Rapides,Laval,2.0,1.0,,1.0,920.0,,190000.0,40000.0,,
"1637, avenue Par-des-Sources",789900,Sillery,Québec Rive-Nord,4.0,2.0,1.0,2.0,1650.0,,,,,
"4, montée du Bois-Franc",549000,Lac-Beauport,Québec Rive-Nord,4.0,2.0,,1.0,1050.0,14650.0,,,,
"2263, rue Vallerand",329000,Jonquière (Arvida),Saguenay-Lac-Saint-Jean,5.0,2.0,,1.0,988.0,5428.0,,,,
"103-6850, boulevard des Roseraies",495000,Anjou,Montréal / l'Île,3.0,2.0,,1.0,,,234400.0,23200.0,150000.0,
"103-6850, boulevard des Roseraies",495000,Anjou,Montréal / l'Île,3.0,2.0,,1.0,,,234400.0,23200.0,150000.0,
"3450, rue Ovila-Hamel",749000,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),7.0,2.0,1.0,2.0,2023.0,,403290.0,42749.0,,
"139, chemin des Rapides",340000,St-Alban,Portneuf,3.0,1.0,,1.0,,,125936.0,13082.0,100000.0,99400.0
"66, rue des Sapins",449000,Victoriaville,Centre-du-Québec,4.0,1.0,1.0,2.0,1536.0,7150.0,415000.0,26900.0,266000.0,70000.0
"106-108, rue Gravel",475000,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,4.0,2.0,,,,14500.0,413804.0,27245.0,,
"41, rue du Geai-Bleu",330000,St-Apollinaire,Chaudière-Appalaches,5.0,1.0,2.0,2.0,1408.0,4886.0,,,,
